instant,one_hot_encoder_02__season_2,one_hot_encoder_02__season_3,one_hot_encoder_02__season_4,one_hot_encoder_02__weathersit_2,one_hot_encoder_02__weathersit_3,remainder__yr,remainder__holiday,remainder__temp,remainder__atemp,remainder__hum,remainder__windspeed,remainder__leaflets,remainder__price_reduction,weekend,weekday
154,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,0.587133,53.12505,0.253121,991.0,0.0,0.0,1.0
685,0.0,0.0,1.0,1.0,0.0,1.0,0.0,12.8667,0.324492,93.06255,0.1529869999999999,601.0,0.0,0.0,1.0
368,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.126275,66.1875,0.365671,549.0,0.0,0.0,1.0
472,1.0,0.0,0.0,0.0,0.0,1.0,1.0,26.5667,0.614925,84.25005,0.284829,740.0,0.0,0.0,1.0
442,0.0,0.0,0.0,1.0,0.0,1.0,0.0,20.5667,0.505046,113.37495,0.110704,773.0,1.0,1.0,0.0
257,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.9333,0.6269,104.56245,0.1673,761.0,0.0,0.0,1.0
413,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.7333,0.3516289999999999,94.01860752688175,0.205846,877.0,1.0,0.0,1.0
643,0.0,0.0,1.0,1.0,0.0,1.0,0.0,26.3,0.607975,108.43755,0.117546,479.0,0.0,0.0,1.0
274,0.0,0.0,1.0,1.0,0.0,0.0,0.0,16.4,0.412863,113.0625,0.292296,628.0,0.0,1.0,0.0
129,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,0.525246,88.3125,0.176,838.0,0.0,0.0,1.0
175,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.9667,0.656583,85.99995,0.222025,779.0,0.0,0.0,1.0
213,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.8667,0.703292,94.01860752688175,0.156717,533.0,0.0,0.0,1.0
533,1.0,0.0,0.0,0.0,0.0,1.0,0.0,25.2667,0.594708,75.62505,0.166667,932.0,0.0,1.0,0.0
590,0.0,1.0,0.0,0.0,0.0,1.0,0.0,28.0333,0.644579,79.56255,0.122512,513.0,0.0,1.0,0.0
221,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,0.724121,85.56255,0.151121,464.0,0.0,0.0,1.0
269,0.0,0.0,1.0,1.0,0.0,0.0,0.0,25.9667,0.589042,127.24995,0.1107,495.0,1.0,0.0,1.0
417,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.513,0.295113,89.1522,0.205717,587.0,0.0,0.0,1.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6609,0.250322,108.3261,0.0739826,548.0,0.0,1.0,0.0
565,0.0,1.0,0.0,0.0,0.0,1.0,0.0,31.7333,0.745583,86.56245,0.137442,977.0,0.0,0.0,1.0
594,0.0,1.0,0.0,0.0,0.0,1.0,0.0,28.7667,0.654688,77.87505,0.141796,755.0,0.0,0.0,1.0
135,1.0,0.0,0.0,1.0,0.0,0.0,0.0,22.5,0.536,130.06245,0.152979,1024.0,0.0,1.0,0.0
425,0.0,0.0,0.0,1.0,0.0,1.0,0.0,13.7739,0.34847,120.71745,0.179117,629.0,0.0,0.0,1.0
227,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.6333,0.616167,106.81245,0.208954,815.0,0.0,0.0,1.0
502,1.0,0.0,0.0,0.0,0.0,1.0,0.0,25.4667,0.595975,104.68755,0.122512,588.0,0.0,0.0,1.0
524,1.0,0.0,0.0,0.0,0.0,1.0,0.0,24.1,0.569442,94.01860752688175,0.15735,537.0,0.0,0.0,1.0
188,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,0.686871,94.01860752688175,0.1592,723.0,0.0,0.0,1.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5333,0.116175,65.12505,0.36195,836.0,0.0,1.0,0.0
378,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.9667,0.249362,76.125,0.378108,911.0,0.0,0.0,1.0
722,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.6333,0.236113,66.1875,0.407346,572.0,0.0,1.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.2121219999999999,88.56525,0.160296,734.0,0.0,0.0,1.0
557,0.0,1.0,0.0,1.0,0.0,1.0,0.0,28.8333,0.664796,100.125,0.1517369999999999,516.0,1.0,0.0,1.0
144,1.0,0.0,0.0,1.0,0.0,0.0,0.0,26.4,0.604813,111.12495,0.207092,829.0,0.0,0.0,1.0
481,1.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0667,0.470317,64.18755,0.118792,636.0,0.0,0.0,1.0
578,0.0,1.0,0.0,0.0,0.0,1.0,0.0,28.5333,0.662896,105.62505,0.165425,864.0,0.0,0.0,1.0
564,0.0,1.0,0.0,0.0,0.0,1.0,0.0,32.7333,0.755683,75.87495,0.114429,809.0,0.0,0.0,1.0
683,0.0,0.0,1.0,1.0,0.0,1.0,0.0,13.7333,0.323225,99.43755,0.342046,542.0,0.0,0.0,1.0
699,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11.2348,0.2984219999999999,83.3478,0.115522,509.0,0.0,0.0,1.0
637,0.0,0.0,1.0,1.0,0.0,1.0,0.0,24.7667,0.585863,103.5,0.164179,658.0,0.0,0.0,1.0
548,0.0,1.0,0.0,0.0,0.0,1.0,0.0,32.6333,0.750629,94.01860752688175,0.1685289999999999,860.0,1.0,1.0,0.0
261,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.3,0.490537,104.25,0.178483,750.0,1.0,1.0,0.0
626,0.0,1.0,0.0,1.0,0.0,1.0,0.0,23.2333,0.55305,110.18745,0.151742,848.0,0.0,0.0,1.0
681,0.0,0.0,1.0,0.0,0.0,1.0,0.0,16.8333,0.421713,98.87505,0.1275,783.0,0.0,1.0,0.0
397,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.7667,0.466538,76.18755,0.189067,787.0,0.0,0.0,1.0
8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.6,0.162254,80.37495,0.266804,990.0,0.0,1.0,0.0
354,0.0,0.0,1.0,1.0,0.0,0.0,0.0,15.4333,0.396454,89.31255,0.0615708,867.0,1.0,0.0,1.0
304,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.6,0.356063,105.49995,0.10635,720.0,0.0,0.0,1.0
