,features,coefs,mae
0,"('yr', 'mnth', 'workingday', 'atemp', 'leaflets', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1010.07962302  -35.1969096   148.98113497  921.47444815   13.95273239
   33.40906522   57.11337429  126.9167846  -436.34459897  246.86252393
 1222.72156785  888.62632152]",621.6384305433284
1,"('yr', 'mnth', 'workingday', 'atemp', 'leaflets', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1009.60415664  -33.96948239  166.81980767  918.90886065   14.81009565
  -81.40278636    8.82156267   32.98753393  115.90483152 -438.9866379
  244.27788617 1232.77921869  899.78085874]",621.7771793834454
2,"('yr', 'mnth', 'workingday', 'atemp', 'leaflets', 'price reduction', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1009.75251443  -31.78830278  165.80104516  918.65991219    9.75257034
   54.53185571  -80.69979002    8.70750229   35.48284951  117.99476351
 -439.39715345  242.48676366 1236.65547191  901.98438639]",621.7845151394636
3,"('yr', 'mnth', 'workingday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1011.40333043  -29.25616106  318.38701433  919.60314021   12.03380065
  145.73033558  -54.17402668   21.33412673   43.98000641  239.79628063
 -433.90900554  243.69983932 1230.67377191  898.32635777]",621.9859660189545
4,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1011.46438626  -29.01510332 -101.90760434   50.24780494  919.59611605
   11.88542895  -55.02943629  -53.05333874   21.69517904   44.27115875
   38.04503051 -433.70311598  243.65656592 1230.8249485   898.43991086]",622.013687787791
5,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[ 1.01146743e+03 -2.90122107e+01 -1.20397847e+02  1.03000421e-01
  9.19578554e+02  1.18961121e+01 -9.26692746e+01 -5.31175404e+01
  2.16384447e+01  4.42160263e+01 -4.33714104e+02  2.43650440e+02
  1.23082855e+03  8.98444772e+02]",622.0144294327256
6,"('yr', 'mnth', 'workingday', 'atemp', 'price reduction', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1008.88989532  -32.37800681  165.93821899  919.57526953   55.42030092
  -80.57065847    8.93557103   36.04378255  118.56577048 -438.40432269
  242.81288418 1237.7548947   903.08494792]",622.0154941263136
7,"('yr', 'mnth', 'holiday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1011.46682157  -29.01437485 -120.43410126  919.5861494    11.89301188
  -92.72025607  -53.09201543   21.66485402   44.24196261 -433.7096135
  243.65324633 1230.81991264  898.43765497]",622.0178314235006
8,"('yr', 'mnth', 'holiday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[ 1.01146483e+03 -2.90213972e+01 -1.20428516e+02  9.19610845e+02
  1.18829086e+01 -9.26350430e+01 -5.30089903e+01  2.17506913e+01
  4.43262585e+01  2.52881371e-01 -4.33695010e+02  2.43662369e+02
  1.23079193e+03  8.98414591e+02]",622.028835268385
9,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'leaflets', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1011.47403011  -29.01122911  -75.03266813  123.12997894  919.6079033
   11.88482973  -52.95925301   21.77901232   44.35167409   93.02343287
 -433.68475412  243.65970632 1230.75495236  898.38915149]",622.0557123027628
